imdb, Gross_Earnings, Votes,imdb_rating, Year
tt2488496,"$936,658,640.00","651,244",8.1,2015
tt0499549,"$749,700,000.00","925,227",7.8,2009
tt0369610,"$528,757,749.00","447,969",7.0,2015
tt0848228,"$623,279,547.00","1,037,900",8.1,2012
tt0468569,"$533,316,061.00","1,768,567",9.0,2008
tt3748528,"$531,314,491.00","286,861",8.0,2016
tt0120915,"$431,000,000.00","566,230",6.5,1999
tt0076759,N/A,"970,649",8.7,1977
tt2395427,"$429,113,729.00","506,752",7.4,2015
tt1345836,"$448,130,642.00","1,214,026",8.5,2012
tt1951264,"$336,663,349.00","521,285",7.6,2013
tt0383574,"$423,032,628.00","546,306",7.3,2006
tt1300854,"$408,992,272.00","583,743",7.2,2013
tt3498820,"$408,080,554.00","402,568",7.9,2016
tt1392170,"$407,981,652.00","729,742",7.2,2012
tt0145487,"$403,706,375.00","568,088",7.3,2002
tt1055369,"$402,076,689.00","333,719",6.0,2009
tt0121766,N/A,"550,940",7.6,2005
tt0316654,"$373,377,893.00","432,655",7.3,2004
tt1431045,"$328,674,489.00","612,933",8.0,2016
tt1399103,"$352,358,779.00","336,983",6.3,2011
tt2179136,"$274,377,268.00","348,221",7.3,2014
tt2820852,"$316,986,481.00","293,887",7.2,2015
tt0413300,"$336,530,303.00","401,611",6.2,2007
tt2293640,"$277,969,969.00","156,540",6.4,2015
tt2015381,"$270,592,504.00","737,811",8.1,2014
tt2975590,"$293,792,936.00","465,665",6.7,2016
tt1386697,"$325,021,779.00","366,780",6.3,2016
tt0418279,"$319,014,499.00","528,463",7.1,2007
tt0371746,"$318,298,180.00","729,172",7.9,2008
tt0367882,"$316,957,122.00","347,638",6.2,2008
tt1228705,"$312,057,433.00","552,306",7.0,2010
tt0121765,"$307,900,000.00","491,896",6.7,2002
tt0449088,"$309,404,152.00","493,768",7.1,2007
tt0086190,N/A,"730,824",8.4,1983
tt0116629,N/A,"449,407",6.9,1996
tt0325980,"$305,343,252.00","849,484",8.0,2003
tt1074638,"$299,300,000.00","543,393",7.8,2012
tt1375666,"$292,568,851.00","1,557,867",8.8,2010
tt0770828,"$291,021,565.00","572,128",7.1,2013
tt0080684,"$4,548,170.00","897,240",8.8,1980
tt1951266,"$254,641,329.00","197,267",6.6,2015
tt0234215,"$281,500,000.00","437,100",7.2,2003
tt0948470,"$262,030,663.00","468,550",7.0,2012
tt0317705,N/A,"503,527",8.0,2004
tt1843866,"$228,636,083.00","533,233",7.8,2014
tt1490017,"$244,870,202.00","263,497",7.8,2014
tt0796366,"$257,704,099.00","523,560",8.0,2009
tt0096895,N/A,"280,816",7.6,1989
tt2109248,"$206,755,538.00","253,535",5.7,2014
