country,latitude,longitude
Afghanistan,33,65
Albania,41,20
Algeria,28,3
American Samoa,-14.3333,-170
Andorra,42.5,1.5
Angola,-12.5,18.5
Anguilla,18.25,-63.1667
Antarctica,-90,0
Antigua and Barbuda,17.05,-61.8
Argentina,-34,-64
Armenia,40,45
Aruba,12.5,-69.9667
Australia,-27,133
Austria,47.3333,13.3333
Azerbaijan,40.5,47.5
Bahamas (the),24.25,-76
Bahrain,26,50.55
Bangladesh,24,90
Barbados,13.1667,-59.5333
Belarus,53,28
Belgium,50.8333,4
Belize,17.25,-88.75
Benin,9.5,2.25
Bermuda,32.3333,-64.75
Bhutan,27.5,90.5
Bolivia (Plurinational State of),-17,-65
Bosnia and Herzegovina,44,18
Botswana,-22,24
Bouvet Island,-54.4333,3.4
Brazil,-10,-55
British Indian Ocean Territory (the),-6,71.5
Brunei Darussalam,4.5,114.6667
Bulgaria,43,25
Burkina Faso,13,-2
Burundi,-3.5,30
Cabo Verde,16,-24
Cambodia,13,105
Cameroon,6,12
Canada,60,-95
Cayman Islands (the),19.5,-80.5
Central African Republic (the),7,21
Chad,15,19
Chile,-30,-71
China,35,105
Christmas Island,-10.5,105.6667
Cocos (Keeling) Islands (the),-12.5,96.8333
Colombia,4,-72
Comoros (the),-12.1667,44.25
Congo (the Democratic Republic of the),0,25
Congo (the),-1,15
Cook Islands (the),-21.2333,-159.7667
Costa Rica,10,-84
Cote d'Ivoire,8,-5
Croatia,45.1667,15.5
Cuba,21.5,-80
Cyprus,35,33
Czech Republic (the),49.75,15.5
Denmark,56,10
Djibouti,11.5,43
Dominica,15.4167,-61.3333
Dominican Republic (the),19,-70.6667
Ecuador,-2,-77.5
Egypt,27,30
El Salvador,13.8333,-88.9167
Equatorial Guinea,2,10
Eritrea,15,39
Estonia,59,26
Ethiopia,8,38
Falkland Islands (the) [Malvinas],-51.75,-59
Faroe Islands (the),62,-7
Fiji,-18,175
Finland,64,26
France,46,2
French Guiana,4,-53
French Polynesia,-15,-140
French Southern Territories (the),-43,67
Gabon,-1,11.75
Gambia (the),13.4667,-16.5667
Georgia,42,43.5
Germany,51,9
Ghana,8,-2
Gibraltar,36.1833,-5.3667
Greece,39,22
Greenland,72,-40
Grenada,12.1167,-61.6667
Guadeloupe,16.25,-61.5833
Guam,13.4667,144.7833
Guatemala,15.5,-90.25
Guinea,11,-10
Guinea-Bissau,12,-15
Guyana,5,-59
Haiti,19,-72.4167
Heard Island and McDonald Islands,-53.1,72.5167
Holy See (the),41.9,12.45
Honduras,15,-86.5
Hong Kong,22.25,114.1667
Hungary,47,20
Iceland,65,-18
India,20,77
